ID,Temperature1,Temperature2,Speed,Time,Num,Y1,Y2,Y3,T1,T2,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1,M1,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,L2,M2
64,160,160,0,10,4099,7.01,8.2,9,1,PbSe,5,5,46.875,5.015,5.605,44.459,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
65,160,160,0,20,461,8.02,10.03,9,1,PbSe,5,5,46.875,5.015,5.605,44.459,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
66,160,160,0,40,5420,8.48,11.84,9,1,PbSe,5,5,46.875,5.015,5.605,44.459,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
67,160,160,0,60,1992,10,11.67,9,1,PbSe,5,5,46.875,5.015,5.605,44.459,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
68,160,160,0,2,1307,6.39,8.06,9,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
69,160,160,0,5,5941,7.03,7.71,9,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
70,160,160,0,10,1975,7.46,9.94,9,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
71,160,160,0,20,33,11.55,6.72,9,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
72,160,160,0,40,951,12.21,9.39,9,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
73,160,160,0,60,4263,12.37,10.94,9,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
74,180,180,0,2,1195,12.14,9.59,9,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
75,180,180,0,5,2870,13.79,11.05,9,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
76,180,180,0,10,734,14.68,15.1,9,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
77,180,180,0,20,690,17.53,19.09,1,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
78,180,180,0,40,1148,17.85,18.87,1,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
79,180,180,0,60,1341,20.45,25.26,1,1,PbSe,5,5,46.875,5.015,5.605,66.673,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
80,160,160,0,10,3313,12.28,13.17,1,1,PbSe,0.25,0.25,31.25,12.157,0.28,3.151,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
81,140,140,0,5,5147,6.23,4.74,9,1,PbSe,3,3,72.1875,3.009,3.363,13.328,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
82,160,160,0,5,569,18.54,12.14,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
83,160,160,0,10,1079,19.18,9.61,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
84,160,160,0,20,829,19.97,9.13,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
85,160,160,0,40,1293,20.37,9.47,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
86,160,160,0,60,3613,19.98,10.01,9,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
87,140,140,0,5,2060,8.43,20.67,9,1,PbSe,5,5,15.625,83.339,5.605,11.091,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
88,140,140,0,10,2397,8.69,25.1,9,1,PbSe,5,5,15.625,83.339,5.605,11.091,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
89,140,140,0,20,2826,8.82,26.97,9,1,PbSe,5,5,15.625,83.339,5.605,11.091,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
90,140,140,0,40,8079,9.31,27.55,9,1,PbSe,5,5,15.625,83.339,5.605,11.091,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
91,140,140,0,60,665,14.14,16.38,9,1,PbSe,5,5,15.625,83.339,5.605,11.091,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
92,160,160,0,5,20,54.47,60.17,9,1,PbSe,5,5,15.625,83.339,5.605,11.091,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
93,160,160,0,10,40,13.89,10.03,9,1,PbSe,5,5,15.625,83.339,5.605,11.091,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
94,160,160,0,20,137,14.84,12.84,9,1,PbSe,5,5,15.625,83.339,5.605,11.091,0,0,0,0,0,0,0,PbCl2,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
