x,y,shape label
-53.59795761,-4.721104145,9
-53.62135315,-4.595560074,9
-53.65784073,-4.347052574,9
-53.72624969,-4.266210556,9
-53.93104172,-4.43217802,9
-29.97691917,6.102105617523193,9
-13.04019928,4.572840213775635,9
-33.92740631,19.368431091308594,9
-23.32032585,28.504262924194336,9
-57.03196716,-13.96118927,9
-25.24929428,31.01458168029785,9
-1.684036493,43.622718811035156,0
-25.25393867,31.007823944091797,9
-23.77479362,28.90565299987793,9
-2.905494452,51.91596221923828,0
28.968154907226562,-37.60832214,1
-40.19058228,18.858915328979492,9
-43.0257225,10.91993236541748,9
0.8095664381980896,14.25745964050293,9
7.602117538452148,47.84054183959961,0
20.88916016,19.056604385375977,10
-55.63893127,15.63109302520752,9
47.897239685058594,18.144773483276367,4
13.01187515258789,18.07462501525879,10
13.118699073791504,40.91234588623047,0
0.8449085354804993,57.87617492675781,0
-4.327553272,58.081790924072266,0
-15.84821892,21.538558959960938,9
-16.48059654,21.023908615112305,9
40.85775375366211,-9.492858887,1
-1.436814427,14.230916976928711,9
35.168304443359375,19.86044692993164,4
-13.08703327,6.554624080657959,9
6.791049480438232,57.56203842163086,0
6.889493942260742,57.40911865234375,0
7.811009883880615,56.42289733886719,0
4.531283855438232,60.18016052246094,0
19.44818687438965,18.90712547302246,10
-10.45796585,-1.267657161,9
24.17634391784668,21.62407875061035,10
-0.008920184,-43.18190384,6
11.95330810546875,33.45559310913086,0
18.622739791870117,12.685663223266602,10
16.646955490112305,48.76493453979492,0
11.208340644836426,-8.987318993,1
11.199258804321289,-8.985216141,9
11.189908027648926,-8.983736038,9
12.491781234741211,34.67976379394531,0
12.469822883605957,35.433956146240234,0
12.87552547454834,35.884124755859375,0
13.865721702575684,36.74644088745117,0
-0.095996849,4.016263961791992,9
-36.52982712,4.927002906799316,9
46.79023742675781,-9.559978485,1
4.799959659576416,-11.22932053,9
37.03437042236328,-18.51109886,1
36.55767059326172,-18.17658615,1
40.16292953491211,-15.51664734,1
40.73782730102539,-15.47483063,1
42.25526809692383,-16.34747124,1
40.748531341552734,-15.43827534,1
34.25517654418945,-7.309910297,4
14.055638313293457,34.20261001586914,0
22.838909149169922,18.274852752685547,10
1.4035837650299072,-8.481076241,9
12.572281837463379,34.2265510559082,0
-4.535769939,47.19785690307617,0
-21.35874176,18.075572967529297,9
40.53090286254883,-35.48426056,1
40.81678771972656,-35.19259262,1
41.333778381347656,-34.88515854,1
33.98976516723633,-30.50571823,1
44.98897933959961,-30.05498314,1
33.906856536865234,-30.48273659,1
-59.17064667,10.064970016479492,9
-46.01118088,-17.48883438,9
-46.66048431,-18.02391815,9
41.2963752746582,-34.77005005,1
44.776710510253906,-31.29996872,1
43.94338607788086,-35.03689957,1
42.70043182373047,-24.34231186,1
49.045597076416016,-29.30622101,1
44.21417236328125,-32.20266724,1
44.534244537353516,-24.69939995,1
-46.19838715,17.070234298706055,9
-63.45910263,-4.578506947,9
-46.40464783,16.936349868774414,9
-63.59962082,-4.18213129,9
-46.35052109,16.94367790222168,9
-64.99414825,-3.864472628,9
-64.81443787,-4.836135864,9
-65.02217865,-5.473213673,9
-64.7456665,-5.068662167,9
-64.85758972,-4.802382469,9
-64.76805878,-4.251350403,9
-65.57250977,-4.014306545,9
-65.30742645,-3.971991777,9
-65.14942932,-4.252086163,9
-65.22689056,-4.503730297,9
-65.63877106,-4.368549347,9
-65.3192215,-3.568635225,9
-5.998209,-64.10851288,7
-36.3707695,13.218277931213379,9
-4.749859333,-0.514364779,9
-6.518420696,54.83965301513672,0
-12.30614567,-5.819186211,9
-11.69592094,-4.754631996,9
-12.0744276,-4.884865761,9
-12.62083054,-5.302000046,9
-12.5418129,-5.376110554,9
-12.21610737,-5.538068295,9
-2.76976347,46.80633544921875,0
-2.837920904,46.802284240722656,0
11.224822998046875,55.02653121948242,0
-23.97534943,24.664045333862305,9
-27.57134819,23.83003044128418,9
-27.47593117,23.802749633789062,9
-27.25612068,23.881669998168945,9
12.340973854064941,36.17269515991211,0
-1.722342253,63.00006103515625,0
11.325610160827637,56.84101486206055,0
-27.46420479,24.30134391784668,9
-17.09398842,-17.0303936,9
-38.15033722,19.862524032592773,9
2.647536039352417,44.980533599853516,0
22.042747497558594,-60.84506226,5
-40.83384705,-0.711162448,9
-3.038678408,-68.17826843,7
13.25914478302002,47.58342361450195,0
-3.264597416,55.03287887573242,0
11.331887245178223,53.6812629699707,0
11.378950119018555,53.479732513427734,0
9.331931114196777,52.6125602722168,0
1.7980973720550537,54.03929901123047,0
0.8893058896064758,55.498138427734375,0
0.49788767099380493,55.04114532470703,0
10.511195182800293,53.902122497558594,0
10.47647762298584,53.561302185058594,0
9.058429718017578,52.5427360534668,0
0.826331377029419,54.05543899536133,0
1.0232083797454834,54.76142120361328,0
23.44940757751465,44.99953079223633,0
23.659221649169922,42.47560501098633,0
10.460403442382812,53.33074951171875,0
0.635006844997406,54.92733383178711,0
0.8766840100288391,55.51292037963867,0
18.03988265991211,47.23340606689453,0
-59.24646759,-11.83766937,9
11.356925010681152,42.10573959350586,0
-41.58830261,-10.04513741,9
16.57408905029297,48.658565521240234,0
27.79160499572754,-29.97129059,1
-22.63385582,3.571702718734741,9
-18.40887642,8.103641510009766,9
31.506906509399414,-18.63040161,1
42.76757049560547,-26.51044273,1
-12.51119995,-21.24877357,9
-13.09845543,-20.96884727,9
32.83586120605469,-16.66120911,1
34.20877456665039,-17.07105637,1
-34.20876312,27.96051788330078,9
-21.90704918,15.572127342224121,9
-21.52636528,15.39545726776123,9
-16.00998306,12.929190635681152,9
-15.53960896,12.54008674621582,9
-15.17480946,12.256868362426758,9
-13.94518566,12.052739143371582,9
22.22753906,15.677055358886719,10
-24.84553719,-19.06224251,9
-24.96731377,-19.01361465,9
-26.01909447,-18.45905876,9
-34.57184982,17.5905818939209,9
-35.02256775,17.495532989501953,9
-34.68384933,17.53838539123535,9
-33.51998138,17.91803741455078,9
-4.822700024,49.252708435058594,0
-4.996286869,49.66952896118164,0
8.36414623260498,64.3128890991211,0
8.411239624023438,64.31437683105469,0
-58.83475876,8.230903625488281,9
-29.38636208,32.70315170288086,9
-58.70007324,8.224196434020996,9
-34.63447571,21.184284210205078,9
-1.785234809,35.34733963012695,0
11.053126335144043,63.11581802368164,0
-29.10730171,10.613173484802246,9
1.0823678970336914,-37.81292725,6
1.2010276317596436,-37.82439804,6
-15.01380253,-20.17143059,9
